,MONTH,HS_CODE,PRODUCT_NAME,TRADE_PARTNER_CODE,TRADE_PARTNER_NAME,TRADE_METHOD_CODE,TRADE_METHOD_NAME,ORIGIN_CODE,ORIGIN_NAME,QUANTITY,QUANTITY_UNIT,WEIGHT,WEIGHT_UNIT,TRADE_VALUE,AVG_UNIT_PRICE,GEO_LOCATION
0,2021-01-28,84717011,固态硬盘(SSD),102,Bahrain,10,General trade,44,Guangdong,1,PCS,0,KG,2001,2001.0,"23.3790° N, 113.7633° E"
1,2021-01-28,84717011,固态硬盘(SSD),103,Bangladesh,10,General trade,44,Guangdong,1506,PCS,132,KG,26935,17.885126162018594,"23.3790° N, 113.7633° E"
2,2021-01-28,84717011,固态硬盘(SSD),103,Bangladesh,34,Logistics goods in areas under special customs supervision,31,Shanghai,8,PCS,0,KG,800,100.0,"31.2304° N, 121.4737° E"
3,2021-01-28,84717011,固态硬盘(SSD),103,Bangladesh,34,Logistics goods in areas under special customs supervision,32,Jiangsu,32,PCS,1,KG,1518,47.4375,"32.0603° N, 118.7969° E"
4,2021-01-28,84717011,固态硬盘(SSD),103,Bangladesh,39,other,44,Guangdong,1,PCS,1,KG,71,71.0,"23.3790° N, 113.7633° E"
5,2021-01-28,84717011,固态硬盘(SSD),106,Myanmar,10,General trade,33,Zhejiang,428,PCS,220,KG,28436,66.4392523364486,"29.1416° N, 119.7889° E"
6,2021-01-28,84717011,固态硬盘(SSD),106,Myanmar,10,General trade,44,Guangdong,23,PCS,9,KG,43164,1876.695652173913,"23.3790° N, 113.7633° E"
7,2021-01-28,84717011,固态硬盘(SSD),106,Myanmar,19,small border trade,53,Yunnan,400,PCS,18,KG,11082,27.705,"24.9740° N, 101.4870° E"
8,2021-01-28,84717011,固态硬盘(SSD),107,Cambodia,10,General trade,33,Zhejiang,1860,PCS,307,KG,96297,51.77258064516129,"29.1416° N, 119.7889° E"
9,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,11,Beijing,2000,PCS,20,KG,39401,19.7005,"39.9042° N, 116.4074° E"
10,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,12,Tianjin,1018,PCS,125,KG,1021407,1003.3467583497053,"39.3434° N, 117.3616° E"
11,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,31,Shanghai,5,PCS,2,KG,1167,233.4,"31.2304° N, 121.4737° E"
12,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,33,Zhejiang,15706,PCS,602,KG,389372,24.79128995288425,"29.1416° N, 119.7889° E"
13,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,34,Anhui,211095,PCS,2170,KG,6306114,29.87334612378313,"31.8257° N, 117.2264° E"
14,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,35,Fujian,2,PCS,0,KG,41,20.5,"26.0789° N, 119.3062° E"
15,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,37,Shandong,14,PCS,10,KG,1344,96.0,"36.0671° N, 119.3219° E"
16,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,42,Hubei,43353,PCS,777,KG,2096494,48.358683366779694,"30.9756° N, 112.2707° E"
17,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,43,Hunan,3420,PCS,163,KG,202628,59.24795321637427,"27.6253° N, 111.8569° E"
18,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,44,Guangdong,1824431,PCS,37909,KG,48330218,26.49057048471551,"23.3790° N, 113.7633° E"
19,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,61,Shaanxi,1500,PCS,120,KG,40250,26.833333333333332,"35.7452° N, 109.0085° E"
20,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,14,Processing trade with incoming materials,32,Jiangsu,3,PCS,0,KG,152,50.666666666666664,"32.0603° N, 118.7969° E"
21,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,14,Processing trade with incoming materials,44,Guangdong,1021,PCS,6,KG,2307,2.2595494613124387,"23.3790° N, 113.7633° E"
22,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,31,Shanghai,720572,PCS,10554,KG,31245985,43.36275209139406,"31.2304° N, 121.4737° E"
23,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,32,Jiangsu,107599,PCS,1851,KG,3346964,31.10590247121256,"32.0603° N, 118.7969° E"
24,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,35,Fujian,97,PCS,21,KG,35303,363.9484536082474,"26.0789° N, 119.3062° E"
25,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,44,Guangdong,864362,PCS,28744,KG,36625157,42.37247472702409,"23.3790° N, 113.7633° E"
26,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,45,Guangxi Zhuang Autonomous Region,1455,PCS,337,KG,2020326,1388.540206185567,"24.7785° N, 108.4160° E"
27,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,50,Chongqing,146680,PCS,833,KG,6330796,43.160594491409874,"29.4316° N, 106.9123° E"
28,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,51,Sichuan,237,PCS,9,KG,7612,32.118143459915615,"30.2638° N, 102.8055° E"
29,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,33,Inbound and outbound goods in bonded supervision places,31,Shanghai,1,PCS,1,KG,129,129.0,"31.2304° N, 121.4737° E"
30,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,33,Inbound and outbound goods in bonded supervision places,44,Guangdong,123131,PCS,3513,KG,3085723,25.060488422899187,"23.3790° N, 113.7633° E"
31,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,31,Shanghai,311678,PCS,10787,KG,58343574,187.19182617958276,"31.2304° N, 121.4737° E"
32,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,32,Jiangsu,165807,PCS,4138,KG,14766351,89.05746440138233,"32.0603° N, 118.7969° E"
33,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,34,Anhui,1072,PCS,32,KG,47916,44.69776119402985,"31.8257° N, 117.2264° E"
34,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,44,Guangdong,24405,PCS,622,KG,2213245,90.68817865191559,"23.3790° N, 113.7633° E"
35,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,45,Guangxi Zhuang Autonomous Region,1332,PCS,635,KG,361680,271.5315315315315,"24.7785° N, 108.4160° E"
36,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,50,Chongqing,34571,PCS,203,KG,1519694,43.958635850857654,"29.4316° N, 106.9123° E"
37,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,51,Sichuan,620,PCS,6,KG,28010,45.17741935483871,"30.2638° N, 102.8055° E"
38,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,61,Shaanxi,244531,PCS,1790,KG,12765566,52.204284937288115,"35.7452° N, 109.0085° E"
39,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,39,other,35,Fujian,46,PCS,23,KG,2300,50.0,"26.0789° N, 119.3062° E"
40,2021-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,39,other,44,Guangdong,20,PCS,0,KG,1000,50.0,"23.3790° N, 113.7633° E"
41,2021-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,13,Hebei,4000,PCS,264,KG,30652,7.663,"38.0428° N, 114.5149° E"
42,2021-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,31,Shanghai,1529,PCS,11,KG,75743,49.537606278613474,"31.2304° N, 121.4737° E"
43,2021-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,32,Jiangsu,23,PCS,1,KG,1466,63.73913043478261,"32.0603° N, 118.7969° E"
44,2021-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,33,Zhejiang,5000,PCS,342,KG,100080,20.016,"29.1416° N, 119.7889° E"
45,2021-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,36,Jiangxi,2300,PCS,125,KG,17625,7.663043478260869,"27.6140° N, 115.7221° E"
46,2021-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,44,Guangdong,16623,PCS,875,KG,349931,21.05101365577814,"23.3790° N, 113.7633° E"
47,2021-01-28,84717011,固态硬盘(SSD),111,India,15,Import processing trade,31,Shanghai,826,PCS,36,KG,61505,74.46125907990314,"31.2304° N, 121.4737° E"
48,2021-01-28,84717011,固态硬盘(SSD),111,India,15,Import processing trade,32,Jiangsu,18,PCS,0,KG,982,54.55555555555556,"32.0603° N, 118.7969° E"
49,2021-01-28,84717011,固态硬盘(SSD),111,India,15,Import processing trade,44,Guangdong,177,PCS,33,KG,18345,103.64406779661017,"23.3790° N, 113.7633° E"
50,2021-01-28,84717011,固态硬盘(SSD),111,India,15,Import processing trade,50,Chongqing,615,PCS,4,KG,37488,60.95609756097561,"29.4316° N, 106.9123° E"
51,2021-01-28,84717011,固态硬盘(SSD),111,India,34,Logistics goods in areas under special customs supervision,31,Shanghai,2847,PCS,41,KG,275590,96.80014049877063,"31.2304° N, 121.4737° E"
52,2021-01-28,84717011,固态硬盘(SSD),111,India,34,Logistics goods in areas under special customs supervision,32,Jiangsu,3100,PCS,419,KG,121370,39.151612903225804,"32.0603° N, 118.7969° E"
53,2021-01-28,84717011,固态硬盘(SSD),111,India,34,Logistics goods in areas under special customs supervision,44,Guangdong,600,PCS,5,KG,41200,68.66666666666667,"23.3790° N, 113.7633° E"
54,2021-01-28,84717011,固态硬盘(SSD),111,India,34,Logistics goods in areas under special customs supervision,50,Chongqing,1441,PCS,13,KG,90732,62.9646079111728,"29.4316° N, 106.9123° E"
55,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,10,General trade,33,Zhejiang,5503,PCS,194,KG,144502,26.258767944757405,"29.1416° N, 119.7889° E"
56,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,10,General trade,37,Shandong,5,PCS,5,KG,626,125.2,"36.0671° N, 119.3219° E"
57,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,10,General trade,44,Guangdong,48970,PCS,1673,KG,1228090,25.078415356340617,"23.3790° N, 113.7633° E"
58,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,15,Import processing trade,31,Shanghai,1038,PCS,84,KG,47244,45.51445086705202,"31.2304° N, 121.4737° E"
59,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,15,Import processing trade,32,Jiangsu,7,PCS,0,KG,410,58.57142857142857,"32.0603° N, 118.7969° E"
60,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,33,Inbound and outbound goods in bonded supervision places,11,Beijing,1,PCS,0,KG,193,193.0,"39.9042° N, 116.4074° E"
61,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,33,Inbound and outbound goods in bonded supervision places,44,Guangdong,3100,PCS,110,KG,62690,20.22258064516129,"23.3790° N, 113.7633° E"
62,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,34,Logistics goods in areas under special customs supervision,31,Shanghai,113,PCS,2,KG,15150,134.07079646017698,"31.2304° N, 121.4737° E"
63,2021-01-28,84717011,固态硬盘(SSD),112,Indonesia,34,Logistics goods in areas under special customs supervision,32,Jiangsu,959,PCS,96,KG,52184,54.41501564129301,"32.0603° N, 118.7969° E"
64,2021-01-28,84717011,固态硬盘(SSD),113,Iran,10,General trade,35,Fujian,1867,PCS,165,KG,8900,4.767005891805034,"26.0789° N, 119.3062° E"
65,2021-01-28,84717011,固态硬盘(SSD),114,Iraq,10,General trade,33,Zhejiang,1044,PCS,81,KG,39581,37.912835249042146,"29.1416° N, 119.7889° E"
66,2021-01-28,84717011,固态硬盘(SSD),115,Israel,10,General trade,31,Shanghai,2,PCS,0,KG,642,321.0,"31.2304° N, 121.4737° E"
67,2021-01-28,84717011,固态硬盘(SSD),115,Israel,10,General trade,32,Jiangsu,10,PCS,1,KG,13648,1364.8,"32.0603° N, 118.7969° E"
68,2021-01-28,84717011,固态硬盘(SSD),115,Israel,10,General trade,33,Zhejiang,1780,PCS,1021,KG,94788,53.25168539325843,"29.1416° N, 119.7889° E"
69,2021-01-28,84717011,固态硬盘(SSD),115,Israel,10,General trade,44,Guangdong,1265,PCS,90,KG,52943,41.85217391304348,"23.3790° N, 113.7633° E"
70,2021-01-28,84717011,固态硬盘(SSD),115,Israel,15,Import processing trade,31,Shanghai,19588,PCS,1131,KG,667738,34.08913620584031,"31.2304° N, 121.4737° E"
71,2021-01-28,84717011,固态硬盘(SSD),115,Israel,34,Logistics goods in areas under special customs supervision,50,Chongqing,2,PCS,0,KG,60,30.0,"29.4316° N, 106.9123° E"
72,2021-01-28,84717011,固态硬盘(SSD),115,Israel,34,Logistics goods in areas under special customs supervision,61,Shaanxi,22,PCS,1,KG,981,44.59090909090909,"35.7452° N, 109.0085° E"
73,2021-01-28,84717011,固态硬盘(SSD),116,Japan,10,General trade,31,Shanghai,58,PCS,2,KG,11284,194.55172413793105,"31.2304° N, 121.4737° E"
74,2021-01-28,84717011,固态硬盘(SSD),116,Japan,10,General trade,32,Jiangsu,144,PCS,29,KG,1239,8.604166666666666,"32.0603° N, 118.7969° E"
