,MONTH,HS_CODE,PRODUCT_NAME,TRADE_PARTNER_CODE,TRADE_PARTNER_NAME,TRADE_METHOD_CODE,TRADE_METHOD_NAME,ORIGIN_CODE,ORIGIN_NAME,QUANTITY,QUANTITY_UNIT,WEIGHT,WEIGHT_UNIT,TRADE_VALUE,AVG_UNIT_PRICE,GEO_LOCATION
0,2022-01-28,84717011,固态硬盘(SSD),102,Bahrain,15,Import processing trade,31,Shanghai,1426,PCS,86,KG,45721,32.062412342215985,"31.2304° N, 121.4737° E"
1,2022-01-28,84717011,固态硬盘(SSD),103,Bangladesh,10,General trade,33,Zhejiang,5500,PCS,433,KG,91890,16.707272727272727,"29.1416° N, 119.7889° E"
2,2022-01-28,84717011,固态硬盘(SSD),103,Bangladesh,10,General trade,44,Guangdong,10365,PCS,656,KG,80101,7.728027013989387,"23.3790° N, 113.7633° E"
3,2022-01-28,84717011,固态硬盘(SSD),103,Bangladesh,33,Inbound and outbound goods in bonded supervision places,44,Guangdong,11,PCS,4,KG,3334,303.09090909090907,"23.3790° N, 113.7633° E"
4,2022-01-28,84717011,固态硬盘(SSD),103,Bangladesh,34,Logistics goods in areas under special customs supervision,31,Shanghai,31,PCS,0,KG,1936,62.45161290322581,"31.2304° N, 121.4737° E"
5,2022-01-28,84717011,固态硬盘(SSD),103,Bangladesh,34,Logistics goods in areas under special customs supervision,32,Jiangsu,7,PCS,0,KG,407,58.142857142857146,"32.0603° N, 118.7969° E"
6,2022-01-28,84717011,固态硬盘(SSD),105,Brunei,10,General trade,44,Guangdong,1,PCS,0,KG,150,150.0,"23.3790° N, 113.7633° E"
7,2022-01-28,84717011,固态硬盘(SSD),105,Brunei,34,Logistics goods in areas under special customs supervision,31,Shanghai,20,PCS,0,KG,1012,50.6,"31.2304° N, 121.4737° E"
8,2022-01-28,84717011,固态硬盘(SSD),106,Myanmar,10,General trade,33,Zhejiang,2690,PCS,187,KG,53433,19.8635687732342,"29.1416° N, 119.7889° E"
9,2022-01-28,84717011,固态硬盘(SSD),106,Myanmar,34,Logistics goods in areas under special customs supervision,32,Jiangsu,1,PCS,0,KG,56,56.0,"32.0603° N, 118.7969° E"
10,2022-01-28,84717011,固态硬盘(SSD),107,Cambodia,10,General trade,44,Guangdong,57,PCS,6,KG,4806,84.3157894736842,"23.3790° N, 113.7633° E"
11,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,31,Shanghai,1,PCS,0,KG,210,210.0,"31.2304° N, 121.4737° E"
12,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,33,Zhejiang,1810,PCS,111,KG,37967,20.97624309392265,"29.1416° N, 119.7889° E"
13,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,34,Anhui,370500,PCS,3602,KG,13687727,36.94393252361673,"31.8257° N, 117.2264° E"
14,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,35,Fujian,30988,PCS,330,KG,484216,15.625919710855815,"26.0789° N, 119.3062° E"
15,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,36,Jiangxi,435,PCS,47,KG,9135,21.0,"27.6140° N, 115.7221° E"
16,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,42,Hubei,163704,PCS,2535,KG,3820622,23.33859893466256,"30.9756° N, 112.2707° E"
17,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,43,Hunan,2,PCS,1,KG,640,320.0,"27.6253° N, 111.8569° E"
18,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,44,Guangdong,1454696,PCS,37276,KG,35571973,24.453200531245017,"23.3790° N, 113.7633° E"
19,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,10,General trade,50,Chongqing,42,PCS,0,KG,1774,42.23809523809524,"29.4316° N, 106.9123° E"
20,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,14,Processing trade with incoming materials,31,Shanghai,184923,PCS,6032,KG,6091364,32.94000205490934,"31.2304° N, 121.4737° E"
21,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,31,Shanghai,259414,PCS,5100,KG,11619828,44.79260178710478,"31.2304° N, 121.4737° E"
22,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,32,Jiangsu,119457,PCS,2265,KG,3223375,26.983558937525636,"32.0603° N, 118.7969° E"
23,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,34,Anhui,2,PCS,0,KG,97,48.5,"31.8257° N, 117.2264° E"
24,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,35,Fujian,47,PCS,11,KG,27164,577.9574468085107,"26.0789° N, 119.3062° E"
25,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,44,Guangdong,1083409,PCS,27881,KG,39857474,36.78894489523347,"23.3790° N, 113.7633° E"
26,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,45,Guangxi Zhuang Autonomous Region,861,PCS,163,KG,1134122,1317.2148664343786,"24.7785° N, 108.4160° E"
27,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,15,Import processing trade,50,Chongqing,282364,PCS,1779,KG,11850593,41.96920641441544,"29.4316° N, 106.9123° E"
28,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,33,Inbound and outbound goods in bonded supervision places,35,Fujian,5,PCS,1,KG,3324,664.8,"26.0789° N, 119.3062° E"
29,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,33,Inbound and outbound goods in bonded supervision places,44,Guangdong,237958,PCS,6580,KG,6348371,26.678535707982082,"23.3790° N, 113.7633° E"
30,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,31,Shanghai,184618,PCS,5398,KG,32304500,174.9802294467495,"31.2304° N, 121.4737° E"
31,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,32,Jiangsu,183862,PCS,9029,KG,32032224,174.21883804157466,"32.0603° N, 118.7969° E"
32,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,34,Anhui,46513,PCS,419,KG,1976918,42.50248317674629,"31.8257° N, 117.2264° E"
33,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,44,Guangdong,55505,PCS,2652,KG,12518978,225.54685163498783,"23.3790° N, 113.7633° E"
34,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,50,Chongqing,20957,PCS,142,KG,1226126,58.50675192059932,"29.4316° N, 106.9123° E"
35,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,51,Sichuan,44544,PCS,211,KG,1976314,44.36768139367816,"30.2638° N, 102.8055° E"
36,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,34,Logistics goods in areas under special customs supervision,61,Shaanxi,67900,PCS,537,KG,4154119,61.1799558173785,"35.7452° N, 109.0085° E"
37,2022-01-28,84717011,固态硬盘(SSD),110,China Hong Kong,39,other,44,Guangdong,4,PCS,0,KG,471,117.75,"23.3790° N, 113.7633° E"
38,2022-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,31,Shanghai,686,PCS,19,KG,50793,74.04227405247813,"31.2304° N, 121.4737° E"
39,2022-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,32,Jiangsu,5,PCS,1,KG,1261,252.2,"32.0603° N, 118.7969° E"
40,2022-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,33,Zhejiang,5031,PCS,329,KG,102206,20.315245478036175,"29.1416° N, 119.7889° E"
41,2022-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,37,Shandong,17,PCS,6,KG,253,14.882352941176471,"36.0671° N, 119.3219° E"
42,2022-01-28,84717011,固态硬盘(SSD),111,India,10,General trade,44,Guangdong,124793,PCS,4437,KG,1984302,15.900747638088674,"23.3790° N, 113.7633° E"
